date,latitude,longitude,no2_satellite
2019-06-05,19.35,72.97,28.7027
2019-06-05,19.35,73.01,33.0476
2019-06-05,19.35,73.05,35.7568
2019-06-06,18.87,72.77,56.7326
2019-06-06,18.87,72.81,45.4584
2019-06-06,18.87,72.85,56.7326
2019-06-06,18.87,72.89,56.7326
2019-06-06,18.87,72.93,49.3197
2019-06-06,18.87,72.97,38.5625
2019-06-06,18.87,73.01,42.3213
2019-06-06,18.87,73.05,44.2416
2019-06-06,18.91,72.77,56.7326
2019-06-06,18.91,72.81,52.3179
2019-06-06,18.91,72.85,53.7587
2019-06-06,18.91,72.89,57.5466
2019-06-06,18.91,72.93,69.4426
2019-06-06,18.91,72.97,43.7323
2019-06-06,18.91,73.01,64.5203
2019-06-06,18.91,73.05,37.551
2019-06-06,18.95,72.77,38.3687
2019-06-06,18.95,72.81,56.7326
2019-06-06,18.95,72.85,63.8921
2019-06-06,18.95,72.89,76.1674
2019-06-06,18.95,72.93,51.7826
2019-06-06,18.95,72.97,59.2952
2019-06-06,18.95,73.01,40.6617
2019-06-06,18.95,73.05,61.8225
2019-06-06,18.99,72.77,70.7764
2019-06-06,18.99,72.81,63.236
2019-06-06,18.99,72.85,57.082
2019-06-06,18.99,72.89,81.618
2019-06-06,18.99,72.93,66.073
2019-06-06,18.99,72.97,71.2434
2019-06-06,18.99,73.01,55.5274
2019-06-06,18.99,73.05,50.5459
2019-06-06,19.03,72.77,63.2508
2019-06-06,19.03,72.81,80.5089
2019-06-06,19.03,72.85,83.7192
2019-06-06,19.03,72.89,86.8724
2019-06-06,19.03,72.93,56.7326
2019-06-06,19.03,72.97,77.0728
2019-06-06,19.03,73.01,71.4556
2019-06-06,19.03,73.05,53.447
2019-06-06,19.07,72.77,86.4351
2019-06-06,19.07,72.81,95.3767
2019-06-06,19.07,72.85,100.3073
2019-06-06,19.07,72.89,106.0933
2019-06-06,19.07,72.93,89.8014
2019-06-06,19.07,72.97,55.8792
2019-06-06,19.07,73.01,58.7186
2019-06-06,19.07,73.05,59.411
2019-06-06,19.11,72.77,81.8821
2019-06-06,19.11,72.81,68.1025
2019-06-06,19.11,72.85,75.7783
2019-06-06,19.11,72.89,88.961
2019-06-06,19.11,72.93,62.6037
2019-06-06,19.11,72.97,68.1402
2019-06-06,19.11,73.01,63.1775
2019-06-06,19.11,73.05,45.7625
2019-06-06,19.15,72.77,63.7603
2019-06-06,19.15,72.81,78.9507
2019-06-06,19.15,72.85,72.2375
2019-06-06,19.15,72.89,56.7326
2019-06-06,19.15,72.93,70.4533
2019-06-06,19.15,72.97,55.9798
2019-06-06,19.15,73.01,56.7326
2019-06-06,19.15,73.05,51.7551
2019-06-06,19.19,72.77,52.7381
2019-06-06,19.19,72.81,64.5542
2019-06-06,19.19,72.85,64.7947
2019-06-06,19.19,72.89,63.9256
2019-06-06,19.19,72.93,58.5983
2019-06-06,19.19,72.97,53.7294
2019-06-06,19.19,73.01,41.2759
2019-06-06,19.19,73.05,59.665
2019-06-06,19.23,72.77,57.1447
2019-06-06,19.23,72.81,57.9206
2019-06-06,19.23,72.85,56.109
2019-06-06,19.23,72.89,49.488
2019-06-06,19.23,72.93,56.7326
2019-06-06,19.23,72.97,41.1542
2019-06-06,19.23,73.01,56.7326
2019-06-06,19.23,73.05,36.9506
2019-06-06,19.27,72.77,60.9243
2019-06-06,19.27,72.81,56.3833
2019-06-06,19.27,72.85,51.0203
2019-06-06,19.27,72.89,43.5111
2019-06-06,19.27,72.93,41.0322
2019-06-06,19.27,72.97,45.9045
2019-06-06,19.27,73.01,52.4526
2019-06-06,19.27,73.05,57.7775
2019-06-06,19.31,72.77,56.7326
2019-06-06,19.31,72.81,48.9303
2019-06-06,19.31,72.85,39.9209
2019-06-06,19.31,72.89,41.229
2019-06-06,19.31,72.93,44.8147
2019-06-06,19.31,72.97,36.5034
2019-06-06,19.31,73.01,39.5836
2019-06-06,19.31,73.05,32.4003
2019-06-06,19.35,72.77,35.0439
2019-06-06,19.35,72.81,46.5713
2019-06-06,19.35,72.85,41.7918
2019-06-06,19.35,72.89,47.0083
2019-06-06,19.35,72.93,35.2272
2019-06-06,19.35,72.97,44.2228
2019-06-06,19.35,73.01,56.7326
2019-06-06,19.35,73.05,37.5637
2019-06-07,18.87,72.77,49.9494
2019-06-07,18.87,72.81,33.0943
2019-06-07,18.87,72.85,42.0297
2019-06-07,18.87,72.89,47.6236
2019-06-07,18.87,72.93,54.4368
2019-06-07,18.87,72.97,40.2255
2019-06-07,18.87,73.01,47.105
2019-06-07,18.87,73.05,52.252
2019-06-07,18.91,72.77,54.1126
2019-06-07,18.91,72.81,50.2001
2019-06-07,18.91,72.85,56.129
2019-06-07,18.91,72.89,48.3279
2019-06-07,18.91,72.93,52.5172
2019-06-07,18.91,72.97,48.2506
2019-06-07,18.91,73.01,49.3493
2019-06-07,18.91,73.05,40.3914
2019-06-07,18.95,72.77,58.0992
2019-06-07,18.95,72.81,55.1586
2019-06-07,18.95,72.85,67.6672
2019-06-07,18.95,72.89,58.09
2019-06-07,18.95,72.93,42.2215
2019-06-07,18.95,72.97,46.8789
2019-06-07,18.95,73.01,50.9857
2019-06-07,18.95,73.05,60.2276
2019-06-07,18.99,72.77,67.5149
2019-06-07,18.99,72.81,48.7966
2019-06-07,18.99,72.85,58.4261
2019-06-07,18.99,72.89,79.4048
2019-06-07,18.99,72.93,71.5479
2019-06-07,18.99,72.97,79.0451
2019-06-07,18.99,73.01,51.3933
2019-06-07,18.99,73.05,42.994
2019-06-07,19.03,72.77,66.9212
2019-06-07,19.03,72.81,71.137
2019-06-07,19.03,72.85,54.0614
2019-06-07,19.03,72.89,78.0544
2019-06-07,19.03,72.93,72.7992
2019-06-07,19.03,72.97,58.5186
2019-06-07,19.03,73.01,64.6583
2019-06-07,19.03,73.05,44.7493
2019-06-07,19.07,72.77,72.7307
2019-06-07,19.07,72.81,95.7367
2019-06-07,19.07,72.85,80.1991
2019-06-07,19.07,72.89,106.3972
2019-06-07,19.07,72.93,82.9621
2019-06-07,19.07,72.97,60.4193
2019-06-07,19.07,73.01,61.2912
2019-06-07,19.07,73.05,59.0732
2019-06-07,19.11,72.77,62.0117
2019-06-07,19.11,72.81,82.3199
2019-06-07,19.11,72.85,101.4786
2019-06-07,19.11,72.89,84.6434
2019-06-07,19.11,72.93,70.6313
2019-06-07,19.11,72.97,67.3292
2019-06-07,19.11,73.01,60.2376
2019-06-07,19.11,73.05,61.6344
2019-06-07,19.15,72.77,62.5145
2019-06-07,19.15,72.81,54.0614
2019-06-07,19.15,72.85,67.8076
2019-06-07,19.15,72.89,62.6656
2019-06-07,19.15,72.93,60.4537
2019-06-07,19.15,72.97,53.4179
2019-06-07,19.15,73.01,54.9163
2019-06-07,19.15,73.05,39.0608
2019-06-07,19.19,72.77,36.3222
2019-06-07,19.19,72.81,61.9355
2019-06-07,19.19,72.85,54.0614
2019-06-07,19.19,72.89,74.2119
2019-06-07,19.19,72.93,54.0614
2019-06-07,19.19,72.97,49.0451
2019-06-07,19.19,73.01,54.0614
2019-06-07,19.19,73.05,48.8374
2019-06-07,19.23,72.77,53.7219
2019-06-07,19.23,72.81,53.8589
2019-06-07,19.23,72.85,56.4407
2019-06-07,19.23,72.89,54.0614
2019-06-07,19.23,72.93,52.974
2019-06-07,19.23,72.97,64.1692
2019-06-07,19.23,73.01,58.6879
2019-06-07,19.23,73.05,28.673
2019-06-07,19.27,72.77,35.8104
2019-06-07,19.27,72.81,42.7367
2019-06-07,19.27,72.85,54.0614
2019-06-07,19.27,72.89,60.1948
2019-06-07,19.27,72.93,54.0614
2019-06-07,19.27,72.97,54.0614
2019-06-07,19.27,73.01,40.5083
2019-06-07,19.27,73.05,46.0976
2019-06-07,19.31,72.77,40.904
2019-06-07,19.31,72.81,41.0939
2019-06-07,19.31,72.85,41.899
2019-06-07,19.31,72.89,54.0614
2019-06-07,19.31,72.93,54.0614
2019-06-07,19.31,72.97,54.0614
2019-06-07,19.31,73.01,43.7922
2019-06-07,19.31,73.05,29.3537
2019-06-07,19.35,72.77,35.178
2019-06-07,19.35,72.81,48.6155
2019-06-07,19.35,72.85,28.2358
2019-06-07,19.35,72.89,45.537
2019-06-07,19.35,72.93,23.568
2019-06-07,19.35,72.97,52.9315
2019-06-07,19.35,73.01,33.8509
2019-06-07,19.35,73.05,40.0925
2019-06-08,18.87,72.77,45.4218
2019-06-08,18.87,72.81,54.6987
2019-06-08,18.87,72.85,49.3564
2019-06-08,18.87,72.89,33.2127
2019-06-08,18.87,72.93,47.4093
2019-06-08,18.87,72.97,43.0361
2019-06-08,18.87,73.01,54.6987
2019-06-08,18.87,73.05,34.191
2019-06-08,18.91,72.77,50.6957
2019-06-08,18.91,72.81,43.6131
2019-06-08,18.91,72.85,60.9988
2019-06-08,18.91,72.89,54.6987
2019-06-08,18.91,72.93,53.4883
2019-06-08,18.91,72.97,56.9904
2019-06-08,18.91,73.01,31.5754
2019-06-08,18.91,73.05,54.6987
2019-06-08,18.95,72.77,54.6987
2019-06-08,18.95,72.81,52.2864
2019-06-08,18.95,72.85,55.3558
2019-06-08,18.95,72.89,48.9946
2019-06-08,18.95,72.93,50.2854
2019-06-08,18.95,72.97,62.9652
2019-06-08,18.95,73.01,54.4078
2019-06-08,18.95,73.05,47.9475
2019-06-08,18.99,72.77,55.8229
2019-06-08,18.99,72.81,66.9686
2019-06-08,18.99,72.85,54.6987
2019-06-08,18.99,72.89,54.6987
2019-06-08,18.99,72.93,65.7126
2019-06-08,18.99,72.97,74.5944
2019-06-08,18.99,73.01,60.3218
2019-06-08,18.99,73.05,44.9237
2019-06-08,19.03,72.77,70.831
2019-06-08,19.03,72.81,54.6987
2019-06-08,19.03,72.85,80.9299
2019-06-08,19.03,72.89,86.4907
2019-06-08,19.03,72.93,77.4438
2019-06-08,19.03,72.97,70.7412
2019-06-08,19.03,73.01,64.8391
2019-06-08,19.03,73.05,55.4134
2019-06-08,19.07,72.77,72.3452
2019-06-08,19.07,72.81,81.7851
2019-06-08,19.07,72.85,85.0799
2019-06-08,19.07,72.89,102.1536
2019-06-08,19.07,72.93,79.8072
2019-06-08,19.07,72.97,74.3602
2019-06-08,19.07,73.01,54.6987
2019-06-08,19.07,73.05,48.7436
2019-06-08,19.11,72.77,54.6987
2019-06-08,19.11,72.81,75.4921
2019-06-08,19.11,72.85,54.6987
2019-06-08,19.11,72.89,80.918
2019-06-08,19.11,72.93,89.5413
2019-06-08,19.11,72.97,69.401
2019-06-08,19.11,73.01,61.4847
2019-06-08,19.11,73.05,54.6987
2019-06-08,19.15,72.77,63.9637
2019-06-08,19.15,72.81,78.7722
2019-06-08,19.15,72.85,71.2031
2019-06-08,19.15,72.89,86.6162
2019-06-08,19.15,72.93,66.6844
2019-06-08,19.15,72.97,74.9325
2019-06-08,19.15,73.01,53.2088
2019-06-08,19.15,73.05,48.4528
2019-06-08,19.19,72.77,54.6987
2019-06-08,19.19,72.81,54.6987
2019-06-08,19.19,72.85,64.4383
2019-06-08,19.19,72.89,66.5895
2019-06-08,19.19,72.93,69.7818
2019-06-08,19.19,72.97,55.7559
2019-06-08,19.19,73.01,43.6211
2019-06-08,19.19,73.05,51.0642
2019-06-08,19.23,72.77,53.0821
2019-06-08,19.23,72.81,58.5453
2019-06-08,19.23,72.85,51.1802
2019-06-08,19.23,72.89,52.0341
2019-06-08,19.23,72.93,54.6987
2019-06-08,19.23,72.97,61.2626
2019-06-08,19.23,73.01,59.7219
2019-06-08,19.23,73.05,40.3584
2019-06-08,19.27,72.77,42.3036
2019-06-08,19.27,72.81,53.6595
2019-06-08,19.27,72.85,54.6987
2019-06-08,19.27,72.89,64.0184
2019-06-08,19.27,72.93,43.6938
2019-06-08,19.27,72.97,43.6198
2019-06-08,19.27,73.01,46.6598
2019-06-08,19.27,73.05,44.5453
2019-06-08,19.31,72.77,41.0933
2019-06-08,19.31,72.81,37.379
2019-06-08,19.31,72.85,54.6987
2019-06-08,19.31,72.89,58.811
2019-06-08,19.31,72.93,39.6245
2019-06-08,19.31,72.97,44.2992
2019-06-08,19.31,73.01,61.0931
